brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
mitsubishi;mirage-g4;sedan;2017;19,985 KM;gasoline;dealer;manual;Quezon City;n/a;388000
toyota;vios;sedan;2017;10,000 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;430000
toyota;vios-2017-2018;sedan;2017;21,353 KM;gasoline;dealer;manual;Quezon City;n/a;425000
toyota;avanza;mpv;2018;3,300 KM;gasoline;dealer;manual;Manila;Silver / Grey;740000
toyota;vios;sedan;2018;1,800 KM;gasoline;dealer;manual;Manila;Red;585000
toyota;vios;sedan;2018;n/a;gasoline;dealer;manual;Manila;Black;585000
toyota;innova;mpv;2019;n/a;diesel;dealer;manual;Quezon City;Red;935000
nissan;frontier-navara;pickup-trucks;2019;104,560 KM;diesel;dealer;manual;Quezon City;n/a;885000
toyota;vios;sedan;2019;168,800 KM;gasoline;dealer;manual;Quezon City;n/a;585000
toyota;innova;mpv;2019;8,000 KM;diesel;dealer;manual;Quezon City;Red;935000
toyota;innova;mpv;2019;6,000 KM;diesel;dealer;manual;Quezon City;Red;935000
toyota;vios;sedan;2019;1,500 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;605000
nissan;nv350-urvan;minivans;2018;18,000 KM;diesel;dealer;manual;Quezon City;Silver / Grey;905000
toyota;vios;sedan;2019;1,600 KM;gasoline;dealer;manual;Quezon City;Red;545000
toyota;vios-2017-2018;sedan;2017;9,800 KM;gasoline;dealer;manual;Quezon City;Black;415000
toyota;vios-2017-2018;sedan;2017;10,800 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;415000
mitsubishi;adventure;mpv;2017;14,000 KM;diesel;dealer;manual;Quezon City;Blue;698000
toyota;innova;mpv;2017;8,500 KM;diesel;dealer;manual;Manila;Red;995000
toyota;yaris;hatchback;2018;9,600 KM;gasoline;dealer;manual;Quezon City;Red;565000
toyota;vios;sedan;2018;n/a;gasoline;dealer;manual;Manila;Red;659000
kia;picanto;hatchback;2017;n/a;gasoline;dealer;manual;Quezon City;Silver / Grey;399000
toyota;vios;sedan;2018;n/a;gasoline;dealer;manual;Manila;Red;595000
toyota;vios-2017-2018;sedan;2018;11,800 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;465000
toyota;vios;sedan;2019;14,000 KM;gasoline;dealer;manual;Quezon City;Red;545000
toyota;vios-2017-2018;sedan;2018;1,900 KM;gasoline;dealer;manual;Quezon City;Red;440000
toyota;hiace-2015-2018;van;2019;2,000 KM;diesel;dealer;manual;Manila;White;1250000
toyota;vios-2017-2018;sedan;2018;2,400 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;515000
toyota;hiace-2015-2018;van;2018;43,000 KM;diesel;dealer;manual;Makati;White;1449000
toyota;hiace-2015-2018;van;2018;1,900 KM;diesel;dealer;manual;Manila;Black;1408000
toyota;hiace-2015-2018;van;2019;13,800 KM;diesel;dealer;manual;Quezon City;White;1115000
toyota;innova;mpv;2018;5,900 KM;diesel;dealer;manual;Manila;Silver / Grey;918000
toyota;yaris;hatchback;2018;9,600 KM;gasoline;dealer;manual;Quezon City;Red;580000
toyota;innova;mpv;2018;7,000 KM;diesel;dealer;manual;Manila;Red;895000
toyota;vios-2017-2018;sedan;2018;7,212 KM;gasoline;dealer;manual;Makati;n/a;580000
toyota;vios-2017-2018;sedan;2017;8,800 KM;gasoline;dealer;manual;Manila;Brown;445000
toyota;vios-2017-2018;sedan;2018;1,900 KM;gasoline;dealer;manual;Quezon City;Red;515000
toyota;hiace-2015-2018;van;2018;6,000 KM;diesel;dealer;manual;Manila;Black;1410000
toyota;vios;sedan;2017;7,400 KM;gasoline;dealer;manual;Manila;Red;500000
toyota;innova;mpv;2019;4,517 KM;diesel;dealer;manual;Quezon City;Silver / Grey;988000
toyota;vios;sedan;2017;5,500 KM;gasoline;dealer;manual;Manila;Orange;635000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Silver / Grey;610000
toyota;innova;mpv;2017;10,000 KM;gasoline;dealer;manual;Manila;Red;1095000
toyota;wigo;hatchback;2017;n/a;gasoline;dealer;manual;Quezon City;Black;308000
toyota;vios-2017-2018;sedan;2018;2,800 KM;gasoline;dealer;manual;Manila;Silver / Grey;498000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Orange;635000
toyota;innova;mpv;2017;1,800 KM;gasoline;dealer;manual;Manila;Black;1170000
toyota;vios-2017-2018;sedan;2018;5,000 KM;gasoline;dealer;manual;Quezon City;Red;520000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Orange;635000
toyota;vios-2017-2018;sedan;2018;1,900 KM;gasoline;dealer;manual;Manila;Red;598000
toyota;hiace-2015-2018;van;2017;22,000 KM;diesel;dealer;manual;Manila;Silver / Grey;950000
toyota;vios;sedan;2017;1,800 KM;gasoline;dealer;manual;Manila;Red;595000
toyota;vios;sedan;2017;20,000 KM;gasoline;dealer;manual;Quezon City;Green;528000
toyota;yaris;hatchback;2018;9,600 KM;gasoline;dealer;manual;Manila;Red;610000
toyota;yaris;hatchback;2018;9,600 KM;gasoline;dealer;manual;Manila;Red;640000
toyota;vios-2017-2018;sedan;2018;3,800 KM;gasoline;dealer;manual;Manila;Silver / Grey;498000
toyota;vios;sedan;2019;1,800 KM;gasoline;dealer;manual;Manila;Purple / Pink;610000
toyota;vios-2017-2018;sedan;2018;15,000 KM;gasoline;dealer;manual;Quezon City;Silver / Grey;700000
toyota;fortuner;suv;2017;8,800 KM;diesel;dealer;automatic;Manila;Brown;1420000
toyota;avanza-2015-2018;mpv;2018;2,282 KM;gasoline;dealer;automatic;Manila;Black;775000
toyota;vios;sedan;2019;1,500 KM;gasoline;dealer;automatic;Quezon City;Blue;648000
toyota;rush;suv;2019;1,686 KM;gasoline;dealer;automatic;Manila;Gold;1015000
toyota;vios;sedan;2019;1,391 KM;gasoline;dealer;automatic;Quezon City;White;640000
toyota;land-cruiser-prado;suv;2019;1,000 KM;diesel;dealer;automatic;Pasig;White;7200000
toyota;fortuner;suv;2018;3,000 KM;diesel;dealer;automatic;Manila;Brown;1478000
toyota;fortuner;suv;2018;3,300 KM;diesel;dealer;automatic;Manila;Silver / Grey;1455000
